Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
40,40000,HybridMergeSort,5,813510,true
40,50000,MergeSort,7,718189,true
40,50000,HybridMergeSort,7,881313,true
40,100000,MergeSort,17,1536013,true
40,100000,HybridMergeSort,12,1863237,true
40,500000,MergeSort,99,8837728,true
40,500000,HybridMergeSort,72,11099068,true
40,1000000,MergeSort,197,18673469,true
40,1000000,HybridMergeSort,151,23188750,true
40,1500000,MergeSort,298,28910334,true
40,1500000,HybridMergeSort,228,33346491,true
40,2000000,MergeSort,429,39348493,true
40,2000000,HybridMergeSort,312,48366761,true
40,2500000,MergeSort,525,50024974,true
40,2500000,HybridMergeSort,394,65297097,true
40,5000000,MergeSort,1109,105050851,true
40,5000000,HybridMergeSort,882,135632908,true
40,7500000,MergeSort,1712,161907164,true
40,7500000,HybridMergeSort,1290,192723462,true
40,10000000,MergeSort,2186,220100693,true
40,10000000,HybridMergeSort,1810,281209240,true
45,1000,MergeSort,0,8697,true
45,1000,HybridMergeSort,0,13373,true
45,2000,MergeSort,0,19460,true
45,2000,HybridMergeSort,0,28975,true
45,3000,MergeSort,0,30914,true
45,3000,HybridMergeSort,0,42071,true
45,4000,MergeSort,1,42768,true
45,4000,HybridMergeSort,0,61718,true
45,5000,MergeSort,1,55278,true
45,5000,HybridMergeSort,0,86627,true
45,10000,MergeSort,1,120409,true
45,10000,HybridMergeSort,1,182846,true
45,20000,MergeSort,3,260847,true
45,20000,HybridMergeSort,3,385979,true
45,30000,MergeSort,6,408611,true
45,30000,HybridMergeSort,3,537327,true
45,40000,MergeSort,7,561879,true
45,40000,HybridMergeSort,7,815350,true
45,50000,MergeSort,7,717999,true
45,50000,HybridMergeSort,7,880881,true
45,100000,MergeSort,18,1535930,true
45,100000,HybridMergeSort,12,1862913,true
45,500000,MergeSort,127,8836437,true
45,500000,HybridMergeSort,68,11093565,true
45,1000000,MergeSort,215,18674211,true
45,1000000,HybridMergeSort,160,23184210,true
45,1500000,MergeSort,350,28909116,true
45,1500000,HybridMergeSort,317,40577936,true
45,2000000,MergeSort,464,39348489,true
45,2000000,HybridMergeSort,383,48376241,true
45,2500000,MergeSort,705,50024861,true
45,2500000,HybridMergeSort,562,65327797,true
45,5000000,MergeSort,1300,105052964,true
45,5000000,HybridMergeSort,880,135639648,true
45,7500000,MergeSort,1986,161907735,true
45,7500000,HybridMergeSort,1947,192743601,true
45,10000000,MergeSort,2281,220102790,true
45,10000000,HybridMergeSort,1785,281233587,true
50,1000,MergeSort,0,8730,true
50,1000,HybridMergeSort,0,13218,true
50,2000,MergeSort,0,19429,true
50,2000,HybridMergeSort,0,28547,true
50,3000,MergeSort,1,30894,true
50,3000,HybridMergeSort,0,54890,true
50,4000,MergeSort,1,42794,true
50,4000,HybridMergeSort,0,61805,true
50,5000,MergeSort,1,55230,true
50,5000,HybridMergeSort,1,87697,true
50,10000,MergeSort,2,120448,true
50,10000,HybridMergeSort,1,185597,true
50,20000,MergeSort,4,260847,true
50,20000,HybridMergeSort,2,387176,true
50,30000,MergeSort,7,408538,true
50,30000,HybridMergeSort,4,536694,true
50,40000,MergeSort,8,561994,true
50,40000,HybridMergeSort,5,813711,true
50,50000,MergeSort,8,718208,true
50,50000,HybridMergeSort,7,1141632,true
50,100000,MergeSort,18,1536558,true
50,100000,HybridMergeSort,11,2378217,true
50,500000,MergeSort,90,8836993,true
50,500000,HybridMergeSort,65,11096773,true
50,1000000,MergeSort,191,18673221,true
50,1000000,HybridMergeSort,153,23181156,true
50,1500000,MergeSort,290,28910213,true
50,1500000,HybridMergeSort,231,40588037,true
50,2000000,MergeSort,421,39348237,true
50,2000000,HybridMergeSort,320,48374626,true
50,2500000,MergeSort,522,50025696,true
50,2500000,HybridMergeSort,400,65297409,true
50,5000000,MergeSort,1090,105048476,true
50,5000000,HybridMergeSort,857,135623618,true
50,7500000,MergeSort,1730,161910102,true
50,7500000,HybridMergeSort,1454,192725159,true
50,10000000,MergeSort,2763,220100426,true
50,10000000,HybridMergeSort,2363,281254458,true
55,1000,MergeSort,1,8714,true
55,1000,HybridMergeSort,0,13304,true
55,2000,MergeSort,0,19380,true
55,2000,HybridMergeSort,0,28670,true
55,3000,MergeSort,1,30943,true
55,3000,HybridMergeSort,0,54707,true
55,4000,MergeSort,1,42806,true
55,4000,HybridMergeSort,0,61558,true
55,5000,MergeSort,1,55217,true
55,5000,HybridMergeSort,0,87166,true
55,10000,MergeSort,1,120375,true
55,10000,HybridMergeSort,1,184031,true
55,20000,MergeSort,4,260914,true
55,20000,HybridMergeSort,3,386376,true
55,30000,MergeSort,6,408661,true
55,30000,HybridMergeSort,3,536692,true
55,40000,MergeSort,15,562042,true
55,40000,HybridMergeSort,8,815732,true
55,50000,MergeSort,15,718034,true
55,50000,HybridMergeSort,9,1142257,true
55,100000,MergeSort,26,1536429,true
55,100000,HybridMergeSort,19,2382784,true
55,500000,MergeSort,130,8837030,true
55,500000,HybridMergeSort,86,11094392,true
55,1000000,MergeSort,249,18674626,true
55,1000000,HybridMergeSort,180,23191976,true
55,1500000,MergeSort,311,28910628,true
55,1500000,HybridMergeSort,272,40582974,true
55,2000000,MergeSort,432,39349505,true
55,2000000,HybridMergeSort,409,48379556,true
55,2500000,MergeSort,610,50025380,true
55,2500000,HybridMergeSort,432,65319907,true
55,5000000,MergeSort,1219,105051538,true
55,5000000,HybridMergeSort,918,135617179,true
55,7500000,MergeSort,1898,161905618,true
55,7500000,HybridMergeSort,1424,192730360,true
55,10000000,MergeSort,2729,220100389,true
55,10000000,HybridMergeSort,2117,281259257,true
60,1000,MergeSort,0,8712,true
60,1000,HybridMergeSort,0,13286,true
60,2000,MergeSort,0,19406,true
60,2000,HybridMergeSort,0,28860,true
60,3000,MergeSort,1,30892,true
60,3000,HybridMergeSort,0,55039,true
60,4000,MergeSort,1,42794,true
60,4000,HybridMergeSort,0,60813,true
60,5000,MergeSort,1,55268,true
60,5000,HybridMergeSort,1,86533,true
60,10000,MergeSort,2,120426,true
60,10000,HybridMergeSort,1,183667,true
60,20000,MergeSort,3,260902,true
60,20000,HybridMergeSort,3,389053,true
60,30000,MergeSort,6,408590,true
60,30000,HybridMergeSort,3,731194,true
60,40000,MergeSort,7,561834,true
60,40000,HybridMergeSort,5,814625,true
60,50000,MergeSort,8,718253,true
60,50000,HybridMergeSort,7,1142472,true
60,100000,MergeSort,20,1536385,true
60,100000,HybridMergeSort,14,2387040,true
60,500000,MergeSort,110,8838195,true
60,500000,HybridMergeSort,89,14338286,true
60,1000000,MergeSort,203,18673672,true
60,1000000,HybridMergeSort,176,29652929,true
60,1500000,MergeSort,351,28911136,true
60,1500000,HybridMergeSort,273,40585745,true
60,2000000,MergeSort,402,39347137,true
60,2000000,HybridMergeSort,362,61309632,true
60,2500000,MergeSort,630,50024345,true
60,2500000,HybridMergeSort,424,65321747,true
60,5000000,MergeSort,1052,105048533,true
60,5000000,HybridMergeSort,898,135610687,true
60,7500000,MergeSort,1799,161904254,true
60,7500000,HybridMergeSort,1482,239554807,true
60,10000000,MergeSort,2505,220101075,true
60,10000000,HybridMergeSort,2143,281225570,true
65,1000,MergeSort,1,8711,true
65,1000,HybridMergeSort,0,20730,true
65,2000,MergeSort,0,19406,true
65,2000,HybridMergeSort,1,42791,true
65,3000,MergeSort,0,30950,true
65,3000,HybridMergeSort,0,55144,true
65,4000,MergeSort,1,42850,true
65,4000,HybridMergeSort,0,88743,true
65,5000,MergeSort,1,55178,true
65,5000,HybridMergeSort,0,86028,true
65,10000,MergeSort,1,120441,true
65,10000,HybridMergeSort,1,183558,true
65,20000,MergeSort,3,260826,true
65,20000,HybridMergeSort,2,387241,true
65,30000,MergeSort,5,408466,true
65,30000,HybridMergeSort,4,727367,true
65,40000,MergeSort,7,561509,true
65,40000,HybridMergeSort,4,812925,true
65,50000,MergeSort,10,718105,true
