Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
318,317,570,88,0.006289,404496,3804
711,710,2052,226,0.002813,2022084,8520
829,828,45571,1985,0.002413,2748964,9936
749,748,4101,304,0.002670,2244004,8976
280,279,13335,1323,0.007143,313600,3348
49,48,137,64,0.040816,9604,576
434,433,938,126,0.004608,753424,5196
4,3,77,102,0.500000,64,36
724,723,5420,383,0.002762,2096704,8676
788,787,85192,3824,0.002538,2483776,9444
60,59,168,70,0.033333,14400,708
721,720,1511,179,0.002774,2079364,8640
740,739,63073,3084,0.002703,2190400,8868
263,262,619,102,0.007605,276676,3144
64,63,1054,366,0.031250,16384,756
278,277,23287,2642,0.007194,309136,3324
754,753,1516,177,0.002653,2274064,9036
477,476,1467,146,0.004193,910116,5712
227,226,432,77,0.008811,206116,2712
574,573,1029,122,0.003484,1317904,6876
525,524,891,116,0.003810,1102500,6288
874,873,6334,444,0.002288,3055504,10476
610,609,53853,2845,0.003279,1488400,7308
39,38,905,507,0.051282,6084,456
137,136,307,76,0.014599,75076,1632
636,635,20427,965,0.003145,1617984,7620
643,642,7482,474,0.003110,1653796,7704
279,278,607,102,0.007168,311364,3336
410,409,6775,553,0.004878,672400,4908
7,6,116,148,0.285714,196,72
518,517,4648,341,0.003861,1073296,6204
419,418,2662,254,0.004773,702244,5016
949,948,1984,228,0.002107,3602404,11376
693,692,2314,244,0.002886,1920996,8304
939,938,13759,710,0.002130,3526884,11256
92,91,394,96,0.021739,33856,1092
826,825,2816,276,0.002421,2729104,9900
632,631,2209,230,0.003165,1597696,7572
271,270,10442,1126,0.007380,293764,3240
820,819,3887,296,0.002439,2689600,9828
612,611,1267,156,0.003268,1498176,7332
964,963,1931,207,0.002075,3717184,11556
473,472,1007,131,0.004228,894916,5664
131,130,277,69,0.015267,68644,1560
307,306,640,119,0.006515,376996,3672
408,407,3045,555,0.004902,665856,4884
991,990,28171,1095,0.002018,3928324,11880
733,732,1537,167,0.002729,2149156,8784
971,970,1916,185,0.002060,3771364,11640
764,763,1495,174,0.002618,2334784,9156
160,159,393,79,0.012500,102400,1908
134,133,1062,198,0.014925,71824,1596
252,251,541,97,0.007937,254016,3012
946,945,2403,210,0.002114,3579664,11340
155,154,362,104,0.012903,96100,1848
762,761,2562,255,0.002625,2322576,9132
