Vertices,Edges,Time Array (Method 1),Time Array (Method 2)
580,579,1394,132
705,704,4915,392
559,558,12775,884
444,443,843,117
663,662,2296,232
896,895,1610,224
192,191,1667,237
577,576,5472,386
907,906,1770,209
394,393,30011,2666
705,704,3144,248
876,875,1887,204
89,88,2866,932
802,801,9833,701
39,38,192,103
314,313,10830,1135
85,84,2147,774
908,907,1425,161
23,22,139,113
637,636,1671,165
849,848,2419,231
317,316,3127,303
947,946,1537,174
602,601,1697,170
714,713,2985,279
915,914,4731,340
11,10,65,50
897,896,70101,3849
376,375,1565,160
996,995,1754,196
326,325,619,108
321,320,24087,2705
799,798,4287,353
319,318,634,110
94,93,206,66
211,210,437,81
81,80,2633,920
533,532,1093,155
492,491,1532,158
235,234,9990,1446
994,993,2060,267
600,599,1589,157
442,441,1249,138
284,283,486,85
593,592,979,135
933,932,4349,369
804,803,60536,3477
381,380,976,121
961,960,4134,349
388,387,619,85
555,554,825,133
507,506,61336,5242
337,336,1842,192
603,602,1184,149
205,204,670,121
261,260,1430,187
558,557,3674,274
28,27,112,72
744,743,193803,15199
557,556,2734,222
47,46,565,271
433,432,4161,305
871,870,27636,1420
148,147,533,103
254,253,654,100
341,340,7952,746
40,39,331,200
691,690,963,128
722,721,2307,187
591,590,30293,2013
242,241,1516,184
294,293,775,118
668,667,18861,1256
