Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
970,56753,3348944,1158964,0.120760,3763600,681036
919,268788,4454716,3681632,0.637209,3378244,3225456
584,284382,1457147,8770389,1.670516,1364224,3412584
834,82850,2792088,1478253,0.238513,2782224,994200
816,495492,3293317,6342133,1.490112,2663424,5945904
553,112084,1648588,1785146,0.734361,1223236,1345008
632,237366,2159333,8005000,1.190425,1597696,2848392
94,6118,43676,91450,1.399680,35344,73416
209,29981,242284,689117,1.379325,174724,359772
294,16345,387331,420271,0.379490,345744,196140
722,205600,2919849,2875063,0.789916,2085136,2467200
198,13801,237820,355818,0.707635,156816,165612
705,268639,2664496,4408093,1.082523,1988100,3223668
773,537338,2109386,5841958,1.800863,2390116,6448056
874,94330,2982321,1854694,0.247260,3055504,1131960
128,4100,76196,82552,0.504429,65536,49200
357,60940,720297,1011938,0.958990,509796,731280
962,422732,5899367,6501654,0.914527,3701776,5072784
447,57226,1025204,912389,0.574091,799236,686712
617,315456,1633880,4290227,1.659980,1522756,3785472
313,69307,521531,1379040,1.419411,391876,831684
608,259303,1838234,4510920,1.405223,1478656,3111636
710,204253,2687422,2572511,0.811510,2016400,2451036
462,69983,1106229,1120517,0.657173,853776,839796
158,302,41045,6768,0.024349,99856,3624
275,29072,427564,476241,0.771652,302500,348864
709,420090,2140690,13745652,1.673759,2010724,5041080
281,4787,307336,136771,0.121683,315844,57444
598,108945,1827626,1842339,0.610326,1430416,1307340
44,1823,3255,17777,1.927061,7744,21876
67,204,7580,4261,0.092266,17956,2448
782,205752,3126219,2702447,0.673777,2446096,2469024
733,72273,2126242,1250978,0.269396,2149156,867276
893,755410,2815085,12774493,1.896690,3189796,9064920
680,218488,3443268,9586937,0.946409,1849600,2621856
966,902577,3079385,25231784,1.936466,3732624,10830924
311,95814,355205,4039377,1.987636,386884,1149768
1000,896821,4415098,23586860,1.795437,4000000,10761852
874,543077,3807770,8306851,1.423527,3055504,6516924
87,7143,26065,144827,1.909383,30276,85716
362,126033,449395,1835897,1.928850,524176,1512396
209,2918,182856,100713,0.134247,174724,35016
1000,69,1800,180,0.000138,4000000,828
517,139435,1479133,1779567,1.045350,1069156,1673220
693,404500,2066179,5225274,1.686977,1920996,4854000
768,344330,3125519,7749999,1.169091,2359296,4131960
768,229999,3034656,4052296,0.780907,2359296,2759988
452,15161,780775,382654,0.148745,817216,181932
70,1441,13543,21055,0.596687,19600,17292
586,185650,1863838,3246623,1.083107,1373584,2227800
18,249,691,3010,1.627451,1296,2988
634,395070,1022595,5752322,1.968843,1607824,4740840
846,552739,3267924,8438962,1.546404,2862864,6632868
370,130846,445502,2156580,1.916736,547600,1570152
840,365972,3842495,5042700,1.038572,2822400,4391664
130,2313,58115,52572,0.275850,67600,27756
890,125502,3389493,2070121,0.317241,3168400,1506024
18,147,686,2694,0.960784,1296,1764
328,73667,562081,1660306,1.373667,430336,884004
65,1121,12005,19135,0.538942,16900,13452
244,41056,314873,590818,1.384875,238144,492672
327,37438,692346,1189096,0.702388,427716,449256
814,21618,2447130,780767,0.065333,2650384,259416
122,7920,90598,142615,1.073025,59536,95040
767,446804,2735652,14855011,1.520978,2353156,5361648
380,85383,802357,1247419,1.185710,577600,1024596
426,37750,823965,575345,0.417012,725904,453000
219,44266,201495,567545,1.854384,191844,531192
996,238191,4597909,5887448,0.480699,3968064,2858292
659,169425,2286670,2135791,0.781441,1737124,2033100
746,194105,2935769,2529232,0.698508,2226064,2329260
356,47188,718432,1010076,0.746764,506944,566256
857,648232,2685906,8274640,1.767282,2937796,7778784
907,552213,4562388,13530991,1.344006,3290596,6626556
24,497,1251,5398,1.800725,2304,5964
868,86501,3060004,1664969,0.229886,3013696,1038012
417,110290,1083754,1901266,1.271560,695556,1323480
961,123341,3876821,3393672,0.267389,3694084,1480092
776,338707,3218816,5029951,1.126395,2408704,4064484
915,11927,2366670,504511,0.028523,3348900,143124
536,125347,1549581,1862386,0.874229,1149184,1504164
805,153864,2922991,4050036,0.475461,2592100,1846368
928,207803,4001612,2779955,0.483119,3444736,2493636
431,32114,791289,647793,0.346560,743044,385368
212,20556,264046,313200,0.919074,179776,246672
276,61779,357447,845619,1.627905,304704,741348
386,59023,816271,1096455,0.794334,595984,708276
41,47,777,405,0.057317,6724,564
143,10803,118402,175546,1.064020,81796,129636
109,6424,67957,120868,1.091403,47524,77088
389,89193,810970,2033355,1.181896,605284,1070316
27,123,1083,1971,0.350427,2916,1476
604,252811,1780370,9756117,1.388263,1459264,3033732
436,75148,1057278,1361864,0.792450,760384,901776
179,12818,181029,281775,0.804595,128164,153816
